"key","title","id","number","oldStopNumber","revision","createdAt","updatedAt"
140,Bodhisattva Tara,4VkTQcIJnGwCoueuEUi8kK,309,181,15,2015-08-24T08:36:08.419Z,2016-07-13T14:35:09.298Z
141,Vindolanda tablet,2Z7JG1Ag6QQik0CMMgssEW,451,239,4,2015-10-18T11:35:30.932Z,2015-11-20T12:43:32.254Z
142,Minoan bull and acrobat,12S6pj9kysuYyGco6kKKgK,222,135,7,2015-08-24T08:23:43.462Z,2015-11-19T21:14:29.952Z
143,Coin of Kumaragupta I,28aWX6c3o88S28as8smQU6,303,192,10,2015-10-15T11:56:59.359Z,2016-07-25T11:12:51.343Z
144,Coin of Abd al-Malik,76DLCFoMM0qOCO06kOKy4K,522,202,8,2015-10-18T12:15:52.909Z,2015-11-24T17:22:42.140Z
145,Mummy of Katebet,1tn1NOdQzSIYKG0SoAqea8,361,266,7,2015-08-24T08:51:26.244Z,2015-11-26T20:04:45.153Z
146,Sculpture of Shiva and Parvati,4NHIN3SJq0YIGAO6uOS0E8,302,188,6,2015-10-15T11:55:20.922Z,2016-07-13T13:36:53.531Z
147,Bronze bell,4sYTN1DTyMW8AwseqwcYmm,313,184,12,2015-08-24T08:37:15.053Z,2016-07-25T11:17:04.589Z
148,Caryatid from the Erechtheion,KrrZGGmJaKmOkSU0OwceW,271,144,5,2015-10-15T11:39:49.582Z,2015-11-24T17:01:00.734Z
149,Statue of crouching Aphrodite,5i2YDNBMRGckCE0cs6YM8o,243,150,5,2015-10-15T10:55:38.018Z,2015-11-20T11:45:57.182Z
150,Library of King Ashurbanipal,6uGk1PeYtGc20GuGmEoygI,404,NULL,5,2015-10-14T11:29:13.811Z,2015-11-19T21:07:03.762Z
151,Coin made of electrum,tdVkHNpWc8kqSA4uYegi8,521,NULL,6,2015-10-14T11:58:36.667Z,2015-11-19T17:05:16.183Z
152,The Folkton Drums,6BuFQJKtIAQWqy4GUEkQK,433,246,4,2015-10-18T11:21:29.968Z,2015-11-20T11:55:48.994Z
153,The Franks Casket,UEbfurWWyWSCSWgmKIU0G,466,NULL,8,2015-08-24T08:47:10.728Z,2016-08-08T10:12:16.150Z
154,Carving of the Burghead bull,6QkUuWWMEgEoMq0WAiuIYq,462,223,5,2015-10-18T11:42:55.729Z,2015-11-19T16:57:00.651Z
155,Bowl with swimming ducks,2ZnEnNcZS86WWSKaIOs2G8,325,NULL,10,2015-08-24T08:56:42.991Z,2015-11-19T16:47:15.705Z
156,Colossal sculpture of a scarab,BlLNcyvwvm6A2OcieAACg,201,NULL,7,2015-10-14T11:05:29.443Z,2015-11-19T17:14:15.431Z
157,Ram in a thicket,5lCyP0jqiACkoiS0wGQcyq,393,NULL,7,2015-10-14T11:26:59.650Z,2015-12-08T13:42:20.221Z
158,Sculpture of Ilissos,1LeH8nwo8gwKAwOGOuAqMU,252,329,9,2015-08-24T08:25:20.542Z,2015-11-19T21:49:11.503Z
159,Black Obelisk of King Shalmaneser III,6ruIkKwOrKYsSw2O2K4c0,211,127,5,2015-10-15T10:29:53.376Z,2015-11-19T16:43:57.580Z
160,Figure of seated cat,2mCx3B4sbW6WigMqyEm2Su,202,126,8,2015-10-15T10:24:56.410Z,2015-11-19T20:30:57.729Z
161,Sculpture of Dionysos,2Aop1fVWaMkKukeEAWscCS,264,323,5,2015-10-15T11:32:23.852Z,2015-11-19T21:47:35.087Z
162,The West pediment,6ArsqYNvVKK4SGG48qwa0w,251,328,5,2015-10-15T11:00:09.948Z,2015-11-20T12:26:06.138Z
163,Tomb-painting of a hunt in the marshes,369DM8h25GU2Y0O4wWayam,373,264,9,2015-08-24T08:50:02.606Z,2015-11-20T12:28:38.874Z
164,Statue of King Ramesses II,1OfXLdyP7KkesK6gyOyYww,203,124,7,2015-08-24T08:16:20.947Z,2015-11-20T11:45:00.021Z
165,Image of Roman emperor,60sn0B0XQsGuekigoq0e2y,452,237,6,2015-10-18T11:37:12.399Z,2015-11-19T20:53:50.323Z
166,The Lyte Jewel,3snweHzO4wOcSiwwiWsYeM,103,NULL,11,2015-10-13T19:05:09.993Z,2015-11-20T12:07:32.738Z
167,Sculpture of Iris,3g5cIpZu0oOgWSCOKCeg2u,254,330,5,2015-10-15T11:02:55.508Z,2015-11-20T11:19:29.452Z
168,Gold ear-stud,xI1rkOfEJigs4mY4UwgG0,552,289,5,2015-10-18T14:47:21.256Z,2015-12-07T14:20:43.585Z
169,Drum from Ghana,45SI9zfmTY4UWmwOQ2iAig,152,171,11,2015-08-24T08:28:55.920Z,2016-09-16T08:43:06.440Z
170,Amphora of Achilles,OplvgnBcEoqmwWUIEGoiO,231,137,7,2015-10-15T10:44:10.444Z,2015-11-24T16:58:14.563Z
171,Sculpture titled Throne of Weapons,yDV8QrHPZm0EYY8saU4uW,180,164,6,2015-08-24T08:27:55.775Z,2015-11-20T11:26:32.525Z
172,The Rosetta Stone,rFCSnv0AmcEIW6kIsC6mg,204,123,72,2015-07-27T13:14:57.552Z,2015-11-30T16:26:42.544Z
173,Bust of Oliver Cromwell,3OVLXlzW7us0Yg0kUcuaYS,491,229,5,2015-10-18T11:50:50.476Z,2015-11-19T16:54:13.387Z
174,Vessel with flowers (kundika),65yS7lLn2MSgwYkqgIKyye,326,207,6,2015-10-14T16:34:23.367Z,2015-11-28T17:03:35.818Z
175,The Lothair Crystal,1T5jNp6dkk2GoeSEMCgiwE,467,226,8,2015-08-24T08:46:11.481Z,2015-12-04T12:29:49.493Z
176,Jomon pot,2QxgioZeMUeKqeiYCoagAO,592,297,7,2015-10-18T15:00:05.573Z,2015-11-30T11:52:10.774Z
177,The Dying Lion relief,5ZajXlA4dGK4egIEqGq6Q0,401,NULL,8,2015-10-14T11:28:03.213Z,2015-11-20T11:54:21.321Z
178,Ming dynasty banknote,2hQk8O44rG4KyIeAcIaYEU,524,280,6,2015-08-24T08:57:27.744Z,2015-11-19T21:14:03.080Z
179,Head of a king,4dyl8Q1c5aeouSyaA4gyuY,184,157,10,2015-10-15T10:18:28.646Z,2015-11-30T11:17:14.215Z
180,Figurine of a woman,3sCnwXT7gIYGgQkCYOO4o,221,134,7,2015-08-24T08:23:17.185Z,2015-11-19T20:32:55.571Z
181,Etruscan sarcophagus,6dLh8DK1kkqwq4MsS44Ws8,551,288,6,2015-08-24T08:58:27.428Z,2015-11-19T20:20:30.491Z
182,Figure holding a fish,5HD7BxfvB6qA8MaCIseWoW,166,155,6,2015-10-14T20:20:09.774Z,2015-11-19T20:25:59.755Z
183,Scholar's study (sarangbang),3Fi36IuPSUeOGcwKgsqwW8,322,203,11,2015-08-24T08:53:13.103Z,2015-11-29T15:27:37.604Z
184,Head of a queen mother,6Z6qHAsx68SYM8OcEWEuIO,185,160,5,2015-10-15T10:19:47.382Z,2015-11-19T20:48:25.172Z
